variant,macro_f1_mean,macro_f1_std,seed_1337,seed_1338,seed_1339
bias,0.4845762217987372,0.0012029028795927017,0.4844210226566808,0.48584919171299007,0.48345845102654067
constant,0.4846378759735761,0.0004702576776936665,0.4851274022135179,0.48418960528928345,0.484596620417927
adaptive,0.499908922109851,0.0008890718492042384,0.5004668338970936,0.5003762902619963,0.4988836421704632
text_only,0.4845028541866971,0.0011754379455764911,0.484323011222248,0.4857578493768923,0.4834277019609508
