emotion,support,A_f1,B_f1,B_minus_A
neutral,353,0.772554002541296,0.7750325097529259,0.002478507211629899
joy,121,0.5486725663716814,0.5862068965517241,0.03753433018004271
sadness,83,0.3875968992248062,0.32558139534883723,-0.06201550387596899
anger,121,0.5022421524663677,0.4890829694323144,-0.013159183034053334
surprise,114,0.631578947368421,0.6468085106382979,0.0152295632698769
fear,30,0.3333333333333333,0.2916666666666667,-0.04166666666666663
disgust,17,0.25,0.3888888888888889,0.1388888888888889
