model,macro_f1,weighted_f1,accuracy
Current text,0.44206945713286366,0.5739486045919048,0.5911799761620977
Causal text,0.4863130851325931,0.6045433586697218,0.6138259833134684
Audio,0.26106833250668365,0.42137006875523747,0.4785202863961814
Concat,0.48727809869726063,0.6058234209199164,0.6162097735399285
Fixed A,0.4894254144722722,0.6177506394661982,0.6376638855780691
Adaptive B (1337),0.5004668338970936,0.6195674456074874,0.635280095351609
