bin,support,Text,A,B
lt_0.4,50,0.3346589918018489,0.22305764411027568,0.36295351473922904
0.4_to_0.6,160,0.3773314404366909,0.4213773351323108,0.4050067800399512
0.6_to_0.8,168,0.4505802320928371,0.45723196586263126,0.45169570933963643
gte_0.8,461,0.49925783752036573,0.49925783752036573,0.49925783752036573
